uid,всего,event,lib,course,test
u1844,1,1,0,0,0
u184,1,1,0,0,0
u1835,1,1,0,0,0
u1834,1,1,0,0,0
u183,1,1,0,0,0
u1829,1,1,0,0,0
u1825,1,1,0,0,0
u1822,2,2,0,0,0
u1818,1,1,0,0,0
u1817,1,1,0,0,0
u1813,1,1,0,0,0
u1812,1,1,0,0,0
u1810,2,2,0,0,0
u1805,3,3,0,0,0
u1804,2,2,0,0,0
u1802,2,2,0,0,0
u1801,2,2,0,0,0
u1798,1,1,0,0,0
u1791,1,1,0,0,0
u1787,1,1,0,0,0
u1784,1,1,0,0,0
u1782,1,1,0,0,0
u1779,2,1,0,1,0
u1777,1,1,0,0,0
u1773,1,1,0,0,0
u1752,1,1,0,0,0
u175,1,1,0,0,0
u1741,2,2,0,0,0
u174,1,1,0,0,0
u1736,1,1,0,0,0
u1734,1,1,0,0,0
u1730,1,1,0,0,0
u173,1,1,0,0,0
u1729,2,2,0,0,0
u1726,2,2,0,0,0
u1723,1,1,0,0,0
u1721,2,2,0,0,0
u1720,1,1,0,0,0
u1718,3,3,0,0,0
u1717,1,1,0,0,0
u1715,2,2,0,0,0
u1714,1,1,0,0,0
u1711,2,2,0,0,0
u1708,2,2,0,0,0
u1705,2,2,0,0,0
u1703,4,3,0,1,0
u1695,1,1,0,0,0
u1691,2,2,0,0,0
u169,1,1,0,0,0
u1687,1,1,0,0,0
u1681,1,1,0,0,0
u1680,1,1,0,0,0
u1675,1,1,0,0,0
u1652,1,0,1,0,0
u1639,1,1,0,0,0
u163,1,1,0,0,0
u1629,2,2,0,0,0
u1625,2,1,1,0,0
u1624,1,1,0,0,0
u1622,1,1,0,0,0
u1621,1,1,0,0,0
u1620,2,2,0,0,0
u1619,1,1,0,0,0
u1611,3,3,0,0,0
u1608,1,1,0,0,0
u1607,1,1,0,0,0
u1604,1,1,0,0,0
u1603,2,2,0,0,0
u1602,2,2,0,0,0
u1596,1,1,0,0,0
u1593,2,2,0,0,0
u1591,1,1,0,0,0
u1583,2,2,0,0,0
u1582,1,1,0,0,0
u1570,1,1,0,0,0
u1559,1,1,0,0,0
u1556,1,1,0,0,0
u1552,1,1,0,0,0
u1551,1,1,0,0,0
u1548,2,2,0,0,0
u1547,1,1,0,0,0
u1546,1,1,0,0,0
u1541,1,1,0,0,0
u1535,1,1,0,0,0
u1530,1,1,0,0,0
u1522,1,1,0,0,0
u1519,1,1,0,0,0
u1513,1,1,0,0,0
u1505,1,1,0,0,0
u1503,1,1,0,0,0
u1502,2,2,0,0,0
u150,1,1,0,0,0
u15,1,1,0,0,0
u1499,1,1,0,0,0
u1492,1,1,0,0,0
u1491,1,1,0,0,0
u1489,1,1,0,0,0
u1485,1,1,0,0,0
u1482,1,1,0,0,0
u1476,1,1,0,0,0
u1471,2,2,0,0,0
u147,9,6,2,1,0
u1469,1,1,0,0,0
u1463,2,2,0,0,0
u1462,1,1,0,0,0
u146,1,1,0,0,0
u1456,2,2,0,0,0
u1455,2,2,0,0,0
u1451,1,1,0,0,0
u1450,1,1,0,0,0
u1446,2,2,0,0,0
u1445,2,2,0,0,0
u1442,1,1,0,0,0
u1441,1,1,0,0,0
u1439,1,1,0,0,0
u1438,1,1,0,0,0
u1436,2,2,0,0,0
u1430,1,1,0,0,0
u143,1,1,0,0,0
u1427,1,1,0,0,0
u1422,3,3,0,0,0
u1416,1,1,0,0,0
u1415,1,1,0,0,0
u1407,2,2,0,0,0
u1406,3,3,0,0,0
u1405,4,4,0,0,0
u1403,1,0,1,0,0
u1402,3,3,0,0,0
u1401,3,3,0,0,0
u140,1,1,0,0,0
u14,1,1,0,0,0
u1399,3,3,0,0,0
u1398,3,3,0,0,0
u1394,1,1,0,0,0
u1390,1,1,0,0,0
u1389,2,2,0,0,0
u1384,1,1,0,0,0
u1379,1,1,0,0,0
u1374,2,2,0,0,0
u1371,2,2,0,0,0
u1369,1,1,0,0,0
u1368,1,1,0,0,0
u1365,2,2,0,0,0
u1364,3,3,0,0,0
u1361,1,1,0,0,0
u136,2,2,0,0,0
u1357,2,2,0,0,0
u1349,1,1,0,0,0
u1348,1,1,0,0,0
u1345,1,1,0,0,0
u1344,1,1,0,0,0
u1338,1,1,0,0,0
u1337,1,1,0,0,0
